age,income,loan_amount,loan_approved,education,gender,credit_score,employment_status
43.0,30388.56,15394.19,No,Bachelors,Female,768.0,Employed
37.0,48900.29,17814.49,Yes,Masters,Female,702.0,Unemployed
44.0,58259.43,16705.51,Yes,High School,Male,691.0,Employed
53.0,72993.38,8610.43,Yes,Masters,Female,767.0,Employed
36.0,90483.25,14068.9,Yes,High School,Male,583.0,Employed
36.0,83882.72,18263.9,Yes,Bachelors,Male,656.0,Employed
54.0,46413.5,17090.2,Yes,Bachelors,Female,732.0,Employed
46.0,62565.75,11090.65,Yes,PhD,Female,762.0,Employed
33.0,,17079.52,Yes,High School,Male,762.0,Employed
43.0,64755.86,19574.45,Yes,High School,Female,584.0,Employed
33.0,64614.1,10118.5,Yes,Masters,Female,696.0,Self-Employed
33.0,35545.13,5198.83,Yes,Bachelors,Male,,Self-Employed
40.0,46945.32,23870.32,Yes,Bachelors,Male,669.0,Employed
19.0,61941.2,16576.67,Yes,Masters,Female,708.0,Employed
21.0,8135.49,12713.54,No,High School,Male,743.0,Employed
32.0,82812.89,12542.22,Yes,Bachelors,Male,723.0,Employed
28.0,42546.42,15733.95,No,Masters,Female,744.0,Employed
41.0,83736.76,20205.09,Yes,Bachelors,Male,711.0,Unemployed
29.0,81978.32,7451.06,No,Bachelors,Male,748.0,Employed
24.0,59126.14,12995.28,No,Masters,Female,750.0,Employed
53.0,90010.97,23269.84,No,High School,Female,763.0,Self-Employed
36.0,84863.95,19123.09,No,Bachelors,Male,760.0,Self-Employed
39.0,63820.77,18696.54,No,Masters,Male,769.0,Self-Employed
24.0,61564.81,17038.48,Yes,PhD,Female,696.0,Employed
,91944.66,16552.41,Yes,High School,Female,699.0,Employed
39.0,74640.28,12659.12,Yes,Bachelors,Male,730.0,Employed
26.0,90893.94,12208.92,Yes,Bachelors,Female,818.0,Employed
42.0,22220.52,19030.66,Yes,Bachelors,Male,731.0,Employed
32.0,71969.7,12301.96,Yes,PhD,Female,804.0,Employed
35.0,38451.82,,Yes,Bachelors,Female,794.0,Employed
32.0,69484.23,15758.68,No,Masters,Female,794.0,Employed
57.0,84276.4,25959.44,Yes,High School,Male,791.0,Employed
38.0,104782.8,14197.89,Yes,High School,Female,673.0,Employed
27.0,51236.67,20842.32,Yes,High School,Male,666.0,Employed
46.0,59485.9,18536.53,No,Masters,Female,677.0,Employed
26.0,68089.34,14413.79,No,Masters,Female,776.0,Self-Employed
40.0,50509.38,8780.06,No,Bachelors,Female,706.0,Employed
18.0,89571.19,14735.18,Yes,Bachelors,Female,690.0,Employed
25.0,68598.11,19496.18,Yes,Bachelors,Male,699.0,Employed
40.0,72439.14,8875.91,Yes,PhD,Male,744.0,Employed
45.0,82403.46,19178.55,No,Bachelors,Female,685.0,Self-Employed
40.0,68565.77,21714.43,No,High School,Male,695.0,Self-Employed
37.0,53649.22,15480.04,Yes,High School,Female,705.0,Employed
35.0,68739.6,19568.48,No,Bachelors,Male,766.0,Self-Employed
23.0,52876.37,15701.27,Yes,Masters,Male,637.0,Employed
31.0,72159.62,17856.91,Yes,High School,Female,720.0,Self-Employed
33.0,89938.75,22467.9,Yes,Masters,Male,702.0,Employed
49.0,46500.43,7230.12,Yes,Masters,Female,750.0,Employed
41.0,39352.58,11173.91,No,High School,Female,714.0,Employed
20.0,70985.0,21253.41,Yes,Masters,Male,674.0,Employed
41.0,54644.01,22175.6,Yes,High School,Male,827.0,Employed
34.0,70634.91,7960.37,Yes,Bachelors,Male,797.0,Employed
31.0,76408.07,22811.52,No,Bachelors,Male,732.0,Employed
44.0,27126.28,2139.3,No,Bachelors,Female,750.0,Employed
48.0,83796.99,18127.95,No,Bachelors,Male,683.0,Employed
47.0,46606.63,16093.97,Yes,High School,Female,730.0,Employed
30.0,69553.04,11334.44,No,Masters,Female,853.0,Employed
35.0,56812.35,11642.27,Yes,Bachelors,Male,782.0,Employed
41.0,58960.86,11826.58,Yes,Bachelors,Male,667.0,Employed
48.0,103879.16,13979.24,No,High School,Female,740.0,Self-Employed
33.0,76385.35,24930.18,No,High School,Female,724.0,Employed
36.0,88093.77,19115.52,Yes,Bachelors,Female,746.0,Self-Employed
27.0,73018.83,22172.02,No,Bachelors,Male,809.0,Employed
26.0,82400.27,13389.61,No,Masters,Male,675.0,Employed
46.0,78347.57,16151.29,No,Bachelors,Male,710.0,Employed
,75089.12,9642.03,No,Bachelors,Male,664.0,Self-Employed
37.0,92143.12,13607.78,Yes,Bachelors,Male,731.0,Employed
48.0,73130.11,12237.5,No,PhD,Male,725.0,Employed
42.0,115702.97,17443.2,Yes,Bachelors,Female,824.0,Unemployed
32.0,89210.63,11465.73,Yes,PhD,Male,677.0,Employed
42.0,47209.19,10815.68,Yes,Bachelors,Female,765.0,Employed
53.0,66469.01,16981.75,No,Masters,Male,589.0,Employed
38.0,77941.55,14732.42,Yes,High School,Male,817.0,Unemployed
